<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
@Si;1;20250502;085900;84544;84544;84544;84544;1299;0
@Si;1;20250502;090000;84544;84666;84423;84565;3584;0
@Si;1;20250502;090100;84564;84606;84492;84577;1650;0
@Si;1;20250502;090200;84584;84594;84493;84560;816;0
@Si;1;20250502;090300;84554;84569;84522;84530;610;0
@Si;1;20250502;090400;84534;84594;84525;84531;883;0
@Si;1;20250502;090500;84526;84583;84506;84507;907;0
@Si;1;20250502;090600;84509;84546;84479;84506;689;0
@Si;1;20250502;090700;84509;84518;84452;84460;831;0
@Si;1;20250502;090800;84461;84462;84426;84437;635;0
@Si;1;20250502;090900;84437;84500;84430;84459;579;0
@Si;1;20250502;091000;84464;84482;84438;84466;750;0
@Si;1;20250502;091100;84463;84473;84437;84440;669;0
@Si;1;20250502;091200;84444;84448;84403;84405;444;0
@Si;1;20250502;091300;84405;84405;84320;84343;1974;0
@Si;1;20250502;091400;84343;84375;84304;84355;668;0
@Si;1;20250502;091500;84377;84419;84346;84390;981;0
@Si;1;20250502;091600;84390;84390;84327;84345;817;0
@Si;1;20250502;091700;84345;84387;84344;84357;109;0
@Si;1;20250502;091800;84357;84363;84316;84317;237;0
@Si;1;20250502;091900;84316;84389;84316;84378;346;0
@Si;1;20250502;092000;84378;84385;84339;84341;194;0
@Si;1;20250502;092100;84354;84358;84323;84323;145;0
@Si;1;20250502;092200;84322;84330;84281;84293;565;0
@Si;1;20250502;092300;84291;84326;84281;84309;265;0
@Si;1;20250502;092400;84316;84342;84293;84325;174;0
@Si;1;20250502;092500;84333;84392;84325;84375;304;0
@Si;1;20250502;092600;84384;84416;84380;84390;212;0
@Si;1;20250502;092700;84392;84419;84388;84390;102;0
@Si;1;20250502;092800;84389;84390;84332;84357;222;0
@Si;1;20250502;092900;84358;84408;84358;84402;333;0
@Si;1;20250502;093000;84402;84440;84402;84409;490;0
@Si;1;20250502;093100;84420;84420;84347;84347;279;0
@Si;1;20250502;093200;84338;84352;84304;84332;188;0
@Si;1;20250502;093300;84315;84380;84311;84357;269;0
@Si;1;20250502;093400;84341;84359;84305;84325;228;0
@Si;1;20250502;093500;84324;84332;84315;84331;284;0
@Si;1;20250502;093600;84332;84401;84332;84401;463;0
@Si;1;20250502;093700;84401;84417;84384;84389;411;0
@Si;1;20250502;093800;84388;84388;84359;84361;74;0
@Si;1;20250502;093900;84362;84383;84355;84380;279;0
@Si;1;20250502;094000;84380;84381;84316;84330;390;0
@Si;1;20250502;094100;84320;84328;84309;84325;81;0
@Si;1;20250502;094200;84315;84337;84309;84332;170;0
@Si;1;20250502;094300;84321;84366;84317;84365;179;0
@Si;1;20250502;094400;84360;84360;84331;84331;62;0
@Si;1;20250502;094500;84332;84352;84331;84331;38;0
@Si;1;20250502;094600;84331;84331;84257;84269;711;0
@Si;1;20250502;094700;84260;84294;84258;84285;222;0
@Si;1;20250502;094800;84285;84313;84267;84281;425;0
@Si;1;20250502;094900;84266;84285;84259;84263;155;0
@Si;1;20250502;095000;84260;84270;84228;84263;633;0
@Si;1;20250502;095100;84265;84277;84250;84268;98;0
@Si;1;20250502;095200;84269;84269;84242;84243;70;0
@Si;1;20250502;095300;84242;84292;84233;84243;713;0
@Si;1;20250502;095400;84241;84276;84208;84276;328;0
@Si;1;20250502;095500;84272;84294;84242;84270;304;0
@Si;1;20250502;095600;84277;84304;84272;84290;206;0
@Si;1;20250502;095700;84291;84358;84279;84353;340;0
@Si;1;20250502;095800;84348;84382;84338;84372;507;0
@Si;1;20250502;095900;84372;84428;84372;84428;702;0
@Si;1;20250502;100000;84428;84687;84360;84665;9970;0
@Si;1;20250502;100100;84662;84769;84571;84614;7146;0
@Si;1;20250502;100200;84610;84635;84573;84587;1876;0
@Si;1;20250502;100300;84580;84595;84552;84558;1339;0
@Si;1;20250502;100400;84555;84662;84554;84651;2028;0
@Si;1;20250502;100500;84651;84723;84651;84719;2166;0
@Si;1;20250502;100600;84720;84723;84626;84628;1739;0
@Si;1;20250502;100700;84628;84701;84613;84638;1109;0
@Si;1;20250502;100800;84649;84674;84505;84505;1904;0
@Si;1;20250502;100900;84505;84569;84500;84569;1830;0
@Si;1;20250502;101000;84568;84670;84568;84597;1361;0
@Si;1;20250502;101100;84597;84637;84588;84596;629;0
@Si;1;20250502;101200;84597;84651;84592;84592;672;0
@Si;1;20250502;101300;84591;84609;84586;84601;286;0
@Si;1;20250502;101400;84601;84808;84601;84804;3921;0
@Si;1;20250502;101500;84807;85039;84807;84984;11007;0
@Si;1;20250502;101600;84992;85059;84924;84970;4412;0
@Si;1;20250502;101700;84968;85050;84926;85034;2142;0
@Si;1;20250502;101800;85039;85099;85027;85079;2665;0
@Si;1;20250502;101900;85079;85096;85028;85029;1129;0
@Si;1;20250502;102000;85040;85139;85040;85078;2882;0
@Si;1;20250502;102100;85084;85160;85083;85122;2830;0
@Si;1;20250502;102200;85130;85170;85105;85112;2239;0
@Si;1;20250502;102300;85113;85123;85010;85010;2681;0
@Si;1;20250502;102400;85012;85071;85010;85035;1347;0
@Si;1;20250502;102500;85038;85090;85027;85029;1334;0
@Si;1;20250502;102600;85029;85066;85017;85017;773;0
@Si;1;20250502;102700;85018;85056;85018;85048;492;0
@Si;1;20250502;102800;85047;85071;84996;84996;1282;0
@Si;1;20250502;102900;84997;85064;84997;85023;1274;0
@Si;1;20250502;103000;85029;85239;85029;85237;4825;0
@Si;1;20250502;103100;85239;85329;85188;85199;4583;0
@Si;1;20250502;103200;85199;85260;85193;85202;2063;0
@Si;1;20250502;103300;85202;85238;85200;85200;1478;0
@Si;1;20250502;103400;85200;85235;85200;85207;844;0
@Si;1;20250502;103500;85211;85299;85211;85240;2225;0
@Si;1;20250502;103600;85246;85332;85227;85227;2341;0
@Si;1;20250502;103700;85227;85271;85204;85229;1518;0
@Si;1;20250502;103800;85226;85246;85200;85200;340;0
@Si;1;20250502;103900;85200;85275;85200;85243;973;0
@Si;1;20250502;104000;85246;85280;85228;85228;1026;0
@Si;1;20250502;104100;85230;85245;85218;85230;566;0
@Si;1;20250502;104200;85229;85232;85141;85149;1181;0
@Si;1;20250502;104300;85153;85188;85137;85138;745;0
@Si;1;20250502;104400;85138;85141;85082;85091;1644;0
@Si;1;20250502;104500;85092;85224;85082;85177;2392;0
@Si;1;20250502;104600;85176;85275;85176;85248;1189;0
@Si;1;20250502;104700;85249;85277;85224;85267;924;0
@Si;1;20250502;104800;85265;85291;85248;85291;768;0
@Si;1;20250502;104900;85291;85299;85244;85271;1679;0
@Si;1;20250502;105000;85275;85299;85271;85293;273;0
@Si;1;20250502;105100;85294;85350;85268;85276;3232;0
@Si;1;20250502;105200;85274;85316;85230;85240;750;0
@Si;1;20250502;105300;85239;85326;85212;85314;953;0
@Si;1;20250502;105400;85314;85411;85314;85371;2303;0
@Si;1;20250502;105500;85374;85475;85374;85398;3227;0
@Si;1;20250502;105600;85400;85435;85400;85405;918;0
@Si;1;20250502;105700;85405;85424;85405;85407;533;0
@Si;1;20250502;105800;85407;85447;85407;85423;529;0
@Si;1;20250502;105900;85423;85487;85423;85466;2693;0
@Si;1;20250502;110000;85466;85654;85466;85640;7774;0
@Si;1;20250502;110100;85644;85767;85644;85710;5656;0
@Si;1;20250502;110200;85716;85764;85698;85744;2691;0
@Si;1;20250502;110300;85743;85777;85730;85766;1887;0
@Si;1;20250502;110400;85766;85784;85766;85775;1355;0
@Si;1;20250502;110500;85775;85790;85737;85737;2127;0
@Si;1;20250502;110600;85737;85779;85737;85750;953;0
@Si;1;20250502;110700;85750;85789;85749;85762;1279;0
@Si;1;20250502;110800;85761;85768;85650;85693;1976;0
@Si;1;20250502;110900;85687;85722;85675;85675;791;0
@Si;1;20250502;111000;85677;85707;85646;85648;917;0
@Si;1;20250502;111100;85648;85678;85627;85637;835;0
